File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15300,2.534,2117649,901658
DNACorpus1/mpomtcg,186609,70254,2.656,10808813,3408793
DNACorpus1/humhbb,73308,28134,2.606,3941025,1395429
DNACorpus1/humghcs,66495,25552,2.602,3728615,1234896
DNACorpus1/humprtb,56737,21902,2.59,3073160,1115371
DNACorpus1/chntxx,155844,58336,2.671,9023951,2817387
DNACorpus1/chmpxx,121024,43516,2.781,6644458,2139070
DNACorpus1/vaccg,191737,70067,2.736,10954458,3359419
DNACorpus1/mtpacga,100314,36862,2.721,5465527,1738846
DNACorpus1/humhdab,58864,22699,2.593,3175823,1118928
DNACorpus1/hehcmv,229354,85526,2.682,13352426,4086919
