File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15300,2.534,2462367,814845
DNACorpus1/mpomtcg,186609,70254,2.656,12539154,3568349
DNACorpus1/humhbb,73308,28134,2.606,4509753,1359340
DNACorpus1/humghcs,66495,25552,2.602,4241407,1307061
DNACorpus1/humprtb,56737,21902,2.59,3536501,1128876
DNACorpus1/chntxx,155844,58336,2.671,10172046,2924848
DNACorpus1/chmpxx,121024,43516,2.781,7683249,2108220
DNACorpus1/vaccg,191737,70067,2.736,12665531,3452612
DNACorpus1/mtpacga,100314,36862,2.721,6364245,1786575
DNACorpus1/humhdab,58864,22699,2.593,3696982,1210600
DNACorpus1/hehcmv,229354,85526,2.682,15684978,4125399
