File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15116,2.565,1817154,822099
DNACorpus1/mpomtcg,186609,70007,2.666,8589766,2999993
DNACorpus1/humhbb,73308,27918,2.626,3377825,1225529
DNACorpus1/humghcs,66495,25336,2.625,3129787,1144096
DNACorpus1/humprtb,56737,21687,2.616,2584480,1017467
DNACorpus1/chntxx,155844,58089,2.683,7217480,2498167
DNACorpus1/chmpxx,121024,43269,2.797,5482280,1863482
DNACorpus1/vaccg,191737,69820,2.746,9002643,3030150
DNACorpus1/mtpacga,100314,36647,2.737,4613934,1628068
DNACorpus1/humhdab,58864,22484,2.618,2655674,1118998
DNACorpus1/hehcmv,229354,85279,2.689,10490136,3508030
