File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15300,2.534,2167516,942377
DNACorpus1/mpomtcg,186609,70254,2.656,11183370,3360975
DNACorpus1/humhbb,73308,28134,2.606,4076514,1322483
DNACorpus1/humghcs,66495,25552,2.602,3710414,1292086
DNACorpus1/humprtb,56737,21902,2.59,3110614,1093642
DNACorpus1/chntxx,155844,58336,2.671,9333283,2818253
DNACorpus1/chmpxx,121024,43516,2.781,6815848,2050124
DNACorpus1/vaccg,191737,70067,2.736,11253413,3378909
DNACorpus1/mtpacga,100314,36862,2.721,5653647,1749618
DNACorpus1/humhdab,58864,22699,2.593,3281636,1133687
DNACorpus1/hehcmv,229354,85526,2.682,13763966,4079259
