File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609993,3.067,3746015776,720976605
DNACorpus2/EsCo,4641652,1593404,2.913,318924872,91869599
DNACorpus2/GaGa,148532294,46851765,3.17,29941248218,4627134819
DNACorpus2/HaHi,3890005,1306708,2.977,253098610,72987123
DNACorpus2/DaRe,62565020,19586457,3.194,11208083618,1801327906
DNACorpus2/HePy,1667825,566972,2.942,92326465,25088103
DNACorpus2/HoSa,189752667,57200209,3.317,40708589808,5660247765
DNACorpus2/DrMe,32181429,10619042,3.031,4780290087,959109319
DNACorpus2/ScPo,10652155,3590856,2.966,1095952499,256861764
DNACorpus2/BuEb,18940,7893,2.4,4379783,420262
DNACorpus2/OrSa,43262523,14148071,3.058,6874920511,1286629871
DNACorpus2/AgPh,43970,17442,2.521,5656670,822460
DNACorpus2/YeMi,73689,27235,2.706,7012875,1198568
DNACorpus2/AeCa,1591049,556535,2.859,86725955,24764455
DNACorpus2/PlFa,8986712,2895744,3.103,789634982,201112993
