File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,18437,2.103,773237,913280
DNACorpus1/mpomtcg,186609,77315,2.414,2665252,2100206
DNACorpus1/humhbb,73308,32681,2.243,1170004,1124969
DNACorpus1/humghcs,66495,29864,2.227,1203467,1112857
DNACorpus1/humprtb,56737,25883,2.192,1024871,1039940
DNACorpus1/chntxx,155844,64879,2.402,2223959,1897806
DNACorpus1/chmpxx,121024,49414,2.449,1822694,1571120
DNACorpus1/vaccg,191737,77120,2.486,2949928,2177423
DNACorpus1/mtpacga,100314,42203,2.377,1584655,1425476
DNACorpus1/humhdab,58864,26752,2.2,1136761,1169293
DNACorpus1/hehcmv,229354,93251,2.46,3162148,2476135
