File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,18437,2.103,652680,1129819
DNACorpus1/mpomtcg,186609,77315,2.414,2012782,2229481
DNACorpus1/humhbb,73308,32681,2.243,998521,1303937
DNACorpus1/humghcs,66495,29864,2.227,1004883,1203668
DNACorpus1/humprtb,56737,25883,2.192,830905,1128175
DNACorpus1/chntxx,155844,64879,2.402,1713728,1999847
DNACorpus1/chmpxx,121024,49414,2.449,1614161,1620563
DNACorpus1/vaccg,191737,77120,2.486,2302107,2144500
DNACorpus1/mtpacga,100314,42203,2.377,1278288,1516427
DNACorpus1/humhdab,58864,26752,2.2,955941,1117515
DNACorpus1/hehcmv,229354,93251,2.46,2365898,2597353
