File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,18437,2.103,786040,963946
DNACorpus1/mpomtcg,186609,77315,2.414,2690539,2058718
DNACorpus1/humhbb,73308,32681,2.243,1187557,1177889
DNACorpus1/humghcs,66495,29864,2.227,1180113,1114269
DNACorpus1/humprtb,56737,25883,2.192,1107326,1118467
DNACorpus1/chntxx,155844,64879,2.402,2279814,1776376
DNACorpus1/chmpxx,121024,49414,2.449,1880883,1610764
DNACorpus1/vaccg,191737,77120,2.486,2772472,2141955
DNACorpus1/mtpacga,100314,42203,2.377,1628788,1382715
DNACorpus1/humhdab,58864,26752,2.2,1185163,988002
DNACorpus1/hehcmv,229354,93251,2.46,3075223,2382468
