File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,236185517,180253702
DNACorpus2/EsCo,4641652,1621508,2.863,42827450,33684154
DNACorpus2/GaGa,148532294,52441876,2.832,1396670200,1076580792
DNACorpus2/HaHi,3890005,1324571,2.937,37346892,27331043
DNACorpus2/DaRe,62565020,21182510,2.954,640890280,430499628
DNACorpus2/HePy,1667825,572507,2.913,17500002,12267189
DNACorpus2/HoSa,189752667,63973137,2.966,1967345982,1281941652
DNACorpus2/DrMe,32181429,11150498,2.886,334056464,229737604
DNACorpus2/ScPo,10652155,3691943,2.885,95401801,75289219
DNACorpus2/BuEb,18940,9894,1.914,434448,751475
DNACorpus2/OrSa,43262523,15008736,2.882,442737598,307913381
DNACorpus2/AgPh,43970,20885,2.105,798574,1002197
DNACorpus2/YeMi,73689,31700,2.325,1182306,1183358
DNACorpus2/AeCa,1591049,561527,2.833,16337865,12121365
DNACorpus2/PlFa,8986712,2972072,3.024,94967355,59543391
