File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,207332724,176662763
DNACorpus2/EsCo,4641652,1621508,2.863,38126686,33190438
DNACorpus2/GaGa,148532294,52441873,2.832,1166328911,1051054096
DNACorpus2/HaHi,3890005,1324571,2.937,33593848,26924766
DNACorpus2/DaRe,62565020,21235298,2.946,491305221,414336470
DNACorpus2/HePy,1667825,572507,2.913,15847410,11930793
DNACorpus2/HoSa,189752667,64010861,2.964,1492100424,1281681351
DNACorpus2/DrMe,32181429,11153099,2.885,257426085,227339202
DNACorpus2/ScPo,10652155,3691943,2.885,84113608,74771582
DNACorpus2/BuEb,18940,9894,1.914,426544,821017
DNACorpus2/OrSa,43262523,15009669,2.882,338590749,306180520
DNACorpus2/AgPh,43970,20885,2.105,832769,933108
DNACorpus2/YeMi,73689,31700,2.325,1258530,1096345
DNACorpus2/AeCa,1591049,561527,2.833,14718304,12085996
DNACorpus2/PlFa,8986712,2972288,3.023,74460145,58057238
