File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,169047266,178334863
DNACorpus2/EsCo,4641652,1621508,2.863,31166263,33311816
DNACorpus2/GaGa,148532294,52441876,2.832,947440903,1067757527
DNACorpus2/HaHi,3890005,1324571,2.937,27670889,27064948
DNACorpus2/DaRe,62565020,21182510,2.954,410510878,426010548
DNACorpus2/HePy,1667825,572507,2.913,12905973,12205584
DNACorpus2/HoSa,189752667,63973137,2.966,1219509904,1264031147
DNACorpus2/DrMe,32181429,11150498,2.886,210900946,227121983
DNACorpus2/ScPo,10652155,3691943,2.885,69500531,74481716
DNACorpus2/BuEb,18940,9894,1.914,384084,871983
DNACorpus2/OrSa,43262523,15008736,2.882,275472401,304537646
DNACorpus2/AgPh,43970,20885,2.105,692424,954969
DNACorpus2/YeMi,73689,31700,2.325,925223,1285561
DNACorpus2/AeCa,1591049,561527,2.833,12054540,12055861
DNACorpus2/PlFa,8986712,2972072,3.024,60152761,58876838
