File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,173253277,179107773
DNACorpus2/EsCo,4641652,1621508,2.863,31922454,33462864
DNACorpus2/GaGa,148532294,52441876,2.832,980751149,1066371503
DNACorpus2/HaHi,3890005,1324571,2.937,28193862,27122806
DNACorpus2/DaRe,62565020,21182510,2.954,424421741,427162301
DNACorpus2/HePy,1667825,572507,2.913,13492889,12207539
DNACorpus2/HoSa,189752667,63973137,2.966,1257183716,1267144685
DNACorpus2/DrMe,32181429,11150498,2.886,216521548,228935986
DNACorpus2/ScPo,10652155,3691943,2.885,70842496,74776765
DNACorpus2/BuEb,18940,9894,1.914,302990,919912
DNACorpus2/OrSa,43262523,15008736,2.882,285853949,306265347
DNACorpus2/AgPh,43970,20885,2.105,628003,1081437
DNACorpus2/YeMi,73689,31700,2.325,969376,1194109
DNACorpus2/AeCa,1591049,561527,2.833,12297907,12154045
DNACorpus2/PlFa,8986712,2972072,3.024,61199516,59123854
