File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,169575888,176232568
DNACorpus2/EsCo,4641652,1621508,2.863,31284640,33107825
DNACorpus2/GaGa,148532294,52441873,2.832,948325072,1049717363
DNACorpus2/HaHi,3890005,1324571,2.937,27625546,26767048
DNACorpus2/DaRe,62565020,21235298,2.946,403160094,420856133
DNACorpus2/HePy,1667825,572507,2.913,13224735,11946447
DNACorpus2/HoSa,189752667,64010861,2.964,1224989572,1251232102
DNACorpus2/DrMe,32181429,11153099,2.885,211428306,223232314
DNACorpus2/ScPo,10652155,3691943,2.885,69332340,73788025
DNACorpus2/BuEb,18940,9894,1.914,304825,901228
DNACorpus2/OrSa,43262523,15009669,2.882,278726434,298390421
DNACorpus2/AgPh,43970,20885,2.105,658029,969567
DNACorpus2/YeMi,73689,31700,2.325,950841,1259584
DNACorpus2/AeCa,1591049,561527,2.833,11941738,11816572
DNACorpus2/PlFa,8986712,2972288,3.023,60291507,57832606
