File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,153217658,174559201
DNACorpus2/EsCo,4641652,1621508,2.863,28443832,33129799
DNACorpus2/GaGa,148532294,52441873,2.832,858241057,1037116037
DNACorpus2/HaHi,3890005,1324571,2.937,25902716,26731266
DNACorpus2/DaRe,62565020,21235298,2.946,364282338,415469423
DNACorpus2/HePy,1667825,572507,2.913,12099292,11968656
DNACorpus2/HoSa,189752667,64010861,2.964,1106305688,1234761390
DNACorpus2/DrMe,32181429,11153099,2.885,191183028,221841492
DNACorpus2/ScPo,10652155,3691943,2.885,63038351,71374093
DNACorpus2/BuEb,18940,9894,1.914,286539,842958
DNACorpus2/OrSa,43262523,15009669,2.882,252004652,295205655
DNACorpus2/AgPh,43970,20885,2.105,648161,998000
DNACorpus2/YeMi,73689,31700,2.325,930783,1281003
DNACorpus2/AeCa,1591049,561527,2.833,11262375,11801982
DNACorpus2/PlFa,8986712,2972288,3.023,54726894,56968457
