File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609527,3.067,3827,713
DNACorpus2/EsCo,4641652,1593032,2.914,386,87
DNACorpus2/GaGa,148532294,46851235,3.17,29507,4690
DNACorpus2/HaHi,3890005,1306336,2.978,290,70
DNACorpus2/DaRe,62565020,19585959,3.194,10931,1802
DNACorpus2/HePy,1667825,566631,2.943,87,24
DNACorpus2/HoSa,189752667,57199679,3.317,39589,5796
DNACorpus2/DrMe,32181429,10618575,3.031,4830,954
DNACorpus2/ScPo,10652155,3590421,2.967,1202,251
DNACorpus2/BuEb,18940,7740,2.447,0,0
DNACorpus2/OrSa,43262523,14147605,3.058,6780,1281
DNACorpus2/AgPh,43970,17258,2.548,2,0
DNACorpus2/YeMi,73689,27019,2.727,3,1
DNACorpus2/AeCa,1591049,556194,2.861,119,27
DNACorpus2/PlFa,8986712,2895340,3.104,1056,196
