File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15116,2.565,1783338,863475
DNACorpus1/mpomtcg,186609,70007,2.666,8821751,3010740
DNACorpus1/humhbb,73308,27918,2.626,3392358,1247940
DNACorpus1/humghcs,66495,25336,2.625,3059902,1194429
DNACorpus1/humprtb,56737,21687,2.616,2550132,1022806
DNACorpus1/chntxx,155844,58089,2.683,7474945,2652064
DNACorpus1/chmpxx,121024,43269,2.797,5490397,1836448
DNACorpus1/vaccg,191737,69820,2.746,8834966,3085739
DNACorpus1/mtpacga,100314,36647,2.737,4587829,1560669
DNACorpus1/humhdab,58864,22484,2.618,2686148,983912
DNACorpus1/hehcmv,229354,85279,2.689,10630276,3590211
