File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,9701,3.997,134683,366540
DNACorpus1/mpomtcg,186609,46661,3.999,414882,1385451
DNACorpus1/humhbb,73308,18335,3.998,209214,593048
DNACorpus1/humghcs,66495,16632,3.998,196279,559614
DNACorpus1/humprtb,56737,14193,3.998,171263,497418
DNACorpus1/chntxx,155844,38969,3.999,364327,1143144
DNACorpus1/chmpxx,121024,30264,3.999,301187,928580
DNACorpus1/vaccg,191737,47943,3.999,439618,1341177
DNACorpus1/mtpacga,100314,25087,3.999,251193,795439
DNACorpus1/humhdab,58864,14724,3.998,163278,447884
DNACorpus1/hehcmv,229354,57347,3.999,449207,1664286
