File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,9701,3.997,128602,358806
DNACorpus1/mpomtcg,186609,46661,3.999,373324,1389097
DNACorpus1/humhbb,73308,18335,3.998,194226,647791
DNACorpus1/humghcs,66495,16632,3.998,182634,575234
DNACorpus1/humprtb,56737,14193,3.998,157146,522114
DNACorpus1/chntxx,155844,38969,3.999,354457,1187678
DNACorpus1/chmpxx,121024,30264,3.999,285889,877523
DNACorpus1/vaccg,191737,47943,3.999,355380,1364350
DNACorpus1/mtpacga,100314,25087,3.999,247336,781412
DNACorpus1/humhdab,58864,14724,3.998,161445,496826
DNACorpus1/hehcmv,229354,57347,3.999,503138,1610354
