File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,10508,3.69,2399931,781983
DNACorpus1/mpomtcg,186609,50680,3.682,11513820,2925090
DNACorpus1/humhbb,73308,19749,3.712,4388677,1175765
DNACorpus1/humghcs,66495,17871,3.721,3922319,1135178
DNACorpus1/humprtb,56737,15217,3.729,3266915,934721
DNACorpus1/chntxx,155844,41870,3.722,9619452,2533663
DNACorpus1/chmpxx,121024,30916,3.915,7106658,1843112
DNACorpus1/vaccg,191737,50542,3.794,11735188,2957851
DNACorpus1/mtpacga,100314,26097,3.844,5823771,1597770
DNACorpus1/humhdab,58864,15796,3.727,3453937,983773
DNACorpus1/hehcmv,229354,61968,3.701,14178260,3460118
