File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,9806,3.954,14233134,12336190
DNACorpus1/mpomtcg,186609,47899,3.896,15953425,15325481
DNACorpus1/humhbb,73308,18628,3.935,14247761,12982799
DNACorpus1/humghcs,66495,16909,3.933,14419975,12859386
DNACorpus1/humprtb,56737,14447,3.927,14287817,12731554
DNACorpus1/chntxx,155844,40087,3.888,15612101,14731943
DNACorpus1/chmpxx,121024,31151,3.885,15696651,13959919
DNACorpus1/vaccg,191737,49496,3.874,16821500,15586784
DNACorpus1/mtpacga,100314,25888,3.875,15122199,13573491
DNACorpus1/humhdab,58864,14947,3.938,14319326,12683274
DNACorpus1/hehcmv,229354,59038,3.885,16572992,16189919
