File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6739583,3.918,116153578,152121903
DNACorpus2/EsCo,4641652,1216132,3.817,21578236,28680800
DNACorpus2/GaGa,148532294,39331405,3.776,643217977,913149851
DNACorpus2/HaHi,3890005,993429,3.916,19910953,23180665
DNACorpus2/DaRe,62565020,15926474,3.928,276440756,363798296
DNACorpus2/HePy,1667825,429381,3.884,9619268,10544502
DNACorpus2/HoSa,189752667,48008147,3.953,838957690,1082080662
DNACorpus2/DrMe,32181429,8364825,3.847,145523244,195007630
DNACorpus2/ScPo,10652155,2768958,3.847,48866550,63566894
DNACorpus2/BuEb,18940,7421,2.552,266562,800639
DNACorpus2/OrSa,43262523,11257252,3.843,189756893,260967762
DNACorpus2/AgPh,43970,15665,2.807,473633,892852
DNACorpus2/YeMi,73689,23776,3.099,793986,1136873
DNACorpus2/AeCa,1591049,421146,3.778,8510248,10358160
DNACorpus2/PlFa,8986712,2229217,4.031,42515383,49917070
