File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6739583,3.918,111660203,152736805
DNACorpus2/EsCo,4641652,1216132,3.817,20700527,28761643
DNACorpus2/GaGa,148532294,39331405,3.776,622669942,914681551
DNACorpus2/HaHi,3890005,993429,3.916,19078601,23380716
DNACorpus2/DaRe,62565020,15926474,3.928,266733048,365071423
DNACorpus2/HePy,1667825,429381,3.884,9253231,10588097
DNACorpus2/HoSa,189752667,48008147,3.953,807972306,1088240762
DNACorpus2/DrMe,32181429,8364825,3.847,139882580,195675104
DNACorpus2/ScPo,10652155,2768958,3.847,45230578,64159888
DNACorpus2/BuEb,18940,7421,2.552,233780,798264
DNACorpus2/OrSa,43262523,11257252,3.843,181020888,263019492
DNACorpus2/AgPh,43970,15665,2.807,478942,1014141
DNACorpus2/YeMi,73689,23776,3.099,738161,1049427
DNACorpus2/AeCa,1591049,421146,3.778,8290528,10436861
DNACorpus2/PlFa,8986712,2229217,4.031,40829006,50139636
