File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6782768,3.893,4303804281,704952822
DNACorpus2/EsCo,4641652,1224465,3.791,464232372,85749773
DNACorpus2/GaGa,148532294,37673417,3.943,32498348733,4622540318
DNACorpus2/HaHi,3890005,1001479,3.884,359904902,68811193
DNACorpus2/DaRe,62565020,15592181,4.013,12098505825,1784180910
DNACorpus2/HePy,1667825,428312,3.894,116295758,24638777
DNACorpus2/HoSa,189752667,46081528,4.118,43489666054,5736139110
DNACorpus2/DrMe,32181429,8390006,3.836,5452400751,945911081
DNACorpus2/ScPo,10652155,2793343,3.813,1414191049,251015922
DNACorpus2/BuEb,18940,5268,3.595,1145910,450830
DNACorpus2/OrSa,43262523,11213230,3.858,7619284515,1260808909
DNACorpus2/AgPh,43970,12038,3.653,2492057,782435
DNACorpus2/YeMi,73689,19095,3.859,4122190,1235720
DNACorpus2/AeCa,1591049,420282,3.786,107377736,24223632
DNACorpus2/PlFa,8986712,2246826,4.0,1188016067,193966594
