File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6782768,3.893,4321489095,706241140
DNACorpus2/EsCo,4641652,1224465,3.791,465910285,87459330
DNACorpus2/GaGa,148532294,37673417,3.943,32539200140,4591564415
DNACorpus2/HaHi,3890005,1001479,3.884,359995699,70175947
DNACorpus2/DaRe,62565020,15592181,4.013,12112815193,1763158894
DNACorpus2/HePy,1667825,428312,3.894,113867267,24625653
DNACorpus2/HoSa,189752667,46081528,4.118,43669801083,5693974022
DNACorpus2/DrMe,32181429,8390006,3.836,5479689154,928827501
DNACorpus2/ScPo,10652155,2793343,3.813,1408730509,249141295
DNACorpus2/BuEb,18940,5268,3.595,1098350,450439
DNACorpus2/OrSa,43262523,11213230,3.858,7585155283,1263728019
DNACorpus2/AgPh,43970,12038,3.653,2496586,780762
DNACorpus2/YeMi,73689,19095,3.859,4154461,1214029
DNACorpus2/AeCa,1591049,420282,3.786,110622882,24272466
DNACorpus2/PlFa,8986712,2246826,4.0,1203497605,194734497
