File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609527,3.067,3812140631,719112767
DNACorpus2/EsCo,4641652,1593032,2.914,383524830,88668943
DNACorpus2/GaGa,148532294,46851235,3.17,29572300549,4699791721
DNACorpus2/HaHi,3890005,1306336,2.978,296428117,71376248
DNACorpus2/DaRe,62565020,19585959,3.194,10965441896,1820867548
DNACorpus2/HePy,1667825,566631,2.943,88811663,25416158
DNACorpus2/HoSa,189752667,57199679,3.317,39757079586,5791179095
DNACorpus2/DrMe,32181429,10618575,3.031,4857812610,966281297
DNACorpus2/ScPo,10652155,3590421,2.967,1214801907,252758392
DNACorpus2/BuEb,18940,7740,2.447,871141,441121
DNACorpus2/OrSa,43262523,14147605,3.058,6796889345,1284329282
DNACorpus2/AgPh,43970,17258,2.548,2155701,928770
DNACorpus2/YeMi,73689,27019,2.727,3332668,1209278
DNACorpus2/AeCa,1591049,556194,2.861,82086633,24932427
DNACorpus2/PlFa,8986712,2895340,3.104,1047486219,198343858
