"Run.Length","count"
1,272
2,1088
3,4349
4,17125
5,63474
6,232991
7,847574
8,2735434
9,7027385
10,12621957
11,16058287
12,11004900
13,3796654
14,1051141
15,429173
16,262975
17,191659
18,149399
19,121125
20,99222
21,82117
22,68928
23,58474
24,49851
25,42737
26,36554
27,31520
28,27041
29,23492
30,20359
31,17485
32,14898
33,12776
34,10985
35,9499
36,8188
37,6964
38,6079
39,5130
40,4435
41,3772
42,3305
43,2843
44,2409
45,2067
46,1786
47,1550
48,1370
49,1191
50,1044
51,910
52,806
53,713
54,632
55,530
56,467
57,416
58,346
59,326
60,266
61,250
62,232
63,207
64,214
65,171
66,153
67,154
68,157
69,145
70,141
71,148
72,137
73,128
74,114
75,101
76,98
77,92
78,89
79,85
80,72
81,63
82,77
83,67
84,62
85,55
86,51
87,49
88,42
89,42
90,46
91,42
92,33
93,31
94,30
95,31
96,25
97,28
98,28
99,28
100,28
101,30
102,25
103,22
104,17
105,17
106,20
107,19
108,13
109,13
110,13
111,9
112,12
113,9
114,4
115,4
116,3
117,5
118,5
119,3
120,6
121,6
122,4
123,3
124,4
125,4
126,6
127,3
128,4
129,4
130,2
131,4
132,6
133,5
134,2
135,3
136,4
137,3
138,5
139,3
140,3
141,4
142,3
143,3
144,2
145,2
146,4
147,2
148,2
149,5
150,2
151,3
152,2
153,2
154,4
155,4
156,3
157,2
158,3
159,3
160,2
161,3
162,3
163,2
164,3
165,2
166,3
167,2
168,2
169,2
170,2
171,2
172,2
173,2
174,2
175,3
176,3
177,2
178,2
179,2
180,2
181,2
182,2
183,3
184,2
185,2
186,2
187,2
188,1
189,1
190,1
