File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609993,3.067,4845058343,756744969
DNACorpus2/EsCo,4641652,1593404,2.913,517493325,101921881
DNACorpus2/GaGa,148532294,46851765,3.17,36765702600,4873692288
DNACorpus2/HaHi,3890005,1306708,2.977,410593478,80499298
DNACorpus2/DaRe,62565020,19586457,3.194,13480599244,1901507344
DNACorpus2/HePy,1667825,566972,2.942,132752853,28719575
DNACorpus2/HoSa,189752667,57200209,3.317,48546658351,5976970631
DNACorpus2/DrMe,32181429,10619042,3.031,6533634464,1020224016
DNACorpus2/ScPo,10652155,3590856,2.966,1591450313,281305871
DNACorpus2/BuEb,18940,7893,2.4,1121313,443486
DNACorpus2/OrSa,43262523,14148071,3.058,8838482949,1361212181
DNACorpus2/AgPh,43970,17442,2.521,2813312,893504
DNACorpus2/YeMi,73689,27235,2.706,4583657,1356697
DNACorpus2/AeCa,1591049,556535,2.859,128462331,28313608
DNACorpus2/PlFa,8986712,2895744,3.103,1253135708,219757876
