File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609527,3.067,3996441864,705164937
DNACorpus2/EsCo,4641652,1593032,2.914,382951628,87835469
DNACorpus2/GaGa,148532294,46851235,3.17,31575588726,4626093722
DNACorpus2/HaHi,3890005,1306336,2.978,301588945,70151687
DNACorpus2/DaRe,62565020,19585959,3.194,11032219432,1786834505
DNACorpus2/HePy,1667825,566631,2.943,93185060,24558585
DNACorpus2/HoSa,189752667,57199679,3.317,40937194176,5753982890
DNACorpus2/DrMe,32181429,10618575,3.031,5204818354,944094405
DNACorpus2/ScPo,10652155,3590421,2.967,1228903401,250758224
DNACorpus2/BuEb,18940,7740,2.447,933117,448174
DNACorpus2/OrSa,43262523,14147605,3.058,7233210374,1263659159
DNACorpus2/AgPh,43970,17258,2.548,2090949,821167
DNACorpus2/YeMi,73689,27019,2.727,3301910,1216432
DNACorpus2/AeCa,1591049,556194,2.861,90987971,24529609
DNACorpus2/PlFa,8986712,2895340,3.104,997127774,195988941
