File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8609993,3.067,4831453556,766791927
DNACorpus2/EsCo,4641652,1593404,2.913,519280069,102052759
DNACorpus2/GaGa,148532294,46851765,3.17,37262880466,4884003112
DNACorpus2/HaHi,3890005,1306708,2.977,410383124,80519061
DNACorpus2/DaRe,62565020,19586457,3.194,13370131933,1904668226
DNACorpus2/HePy,1667825,566972,2.942,133162371,28899247
DNACorpus2/HoSa,189752667,57200209,3.317,47641927798,5974919167
DNACorpus2/DrMe,32181429,10619042,3.031,6438941414,1012197614
DNACorpus2/ScPo,10652155,3590856,2.966,1580680628,278103147
DNACorpus2/BuEb,18940,7893,2.4,1197576,427225
DNACorpus2/OrSa,43262523,14148071,3.058,8752581721,1357228817
DNACorpus2/AgPh,43970,17442,2.521,2938555,929420
DNACorpus2/YeMi,73689,27235,2.706,4610795,1362336
DNACorpus2/AeCa,1591049,556535,2.859,127601500,28227619
DNACorpus2/PlFa,8986712,2895744,3.103,1239049122,218624290
