File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,21431,1.809,0,1
DNACorpus1/mpomtcg,186609,151880,1.229,3,3
DNACorpus1/humhbb,73308,45584,1.608,1,1
DNACorpus1/humghcs,66495,41609,1.598,1,1
DNACorpus1/humprtb,56737,34182,1.66,1,1
DNACorpus1/chntxx,155844,128240,1.215,3,2
DNACorpus1/chmpxx,121024,106565,1.136,2,2
DNACorpus1/vaccg,191737,181673,1.055,3,3
DNACorpus1/mtpacga,100314,82691,1.213,2,2
DNACorpus1/humhdab,58864,35714,1.648,1,1
DNACorpus1/hehcmv,229354,208820,1.098,4,4
