File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,18437,2.103,5982642,957624
DNACorpus1/mpomtcg,186609,77315,2.414,17042317,2137437
DNACorpus1/humhbb,73308,32681,2.243,8792976,1244835
DNACorpus1/humghcs,66495,29864,2.227,8162889,1187147
DNACorpus1/humprtb,56737,25883,2.192,7473050,1160587
DNACorpus1/chntxx,155844,64879,2.402,14545173,1907764
DNACorpus1/chmpxx,121024,49414,2.449,10870019,1622597
DNACorpus1/vaccg,191737,77120,2.486,15545598,2213009
DNACorpus1/mtpacga,100314,42203,2.377,9731524,1399908
DNACorpus1/humhdab,58864,26752,2.2,7826125,1191845
DNACorpus1/hehcmv,229354,93251,2.46,19191157,2447431
