File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,174382399,178291524
DNACorpus2/EsCo,4641652,1621508,2.863,32134581,33608477
DNACorpus2/GaGa,148532294,52441876,2.832,985612202,1067577311
DNACorpus2/HaHi,3890005,1324571,2.937,28803915,27191808
DNACorpus2/DaRe,62565020,21182510,2.954,426777592,424092743
DNACorpus2/HePy,1667825,572507,2.913,13394836,12466927
DNACorpus2/HoSa,189752667,63973137,2.966,1265150413,1266331938
DNACorpus2/DrMe,32181429,11150498,2.886,218387323,226951447
DNACorpus2/ScPo,10652155,3691943,2.885,70798812,74701143
DNACorpus2/BuEb,18940,9894,1.914,353626,784858
DNACorpus2/OrSa,43262523,15008736,2.882,285779286,304754846
DNACorpus2/AgPh,43970,20885,2.105,625729,982561
DNACorpus2/YeMi,73689,31700,2.325,1049487,1218285
DNACorpus2/AeCa,1591049,561527,2.833,12392988,12158827
DNACorpus2/PlFa,8986712,2972072,3.024,61925996,58907850
