File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,33044540,0.799,582,514
DNACorpus2/EsCo,4641652,5920367,0.784,105,92
DNACorpus2/GaGa,148532294,195999791,0.758,3417,3012
DNACorpus2/HaHi,3890005,4779607,0.814,85,76
DNACorpus2/DaRe,62565020,79235705,0.79,1388,1249
DNACorpus2/HePy,1667825,2088791,0.798,37,33
DNACorpus2/HoSa,189752667,259099844,0.732,4508,3977
DNACorpus2/DrMe,32181429,38333504,0.84,680,601
DNACorpus2/ScPo,10652155,13720841,0.776,241,213
DNACorpus2/BuEb,18940,10106,1.874,0,0
DNACorpus2/OrSa,43262523,56539838,0.765,993,876
DNACorpus2/AgPh,43970,23885,1.841,0,1
DNACorpus2/YeMi,73689,57416,1.283,1,1
DNACorpus2/AeCa,1591049,2013455,0.79,36,31
DNACorpus2/PlFa,8986712,11668820,0.77,204,181
