File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,8986109,2.938,187,173
DNACorpus2/EsCo,4641652,1621508,2.863,34,32
DNACorpus2/GaGa,148532294,52441873,2.832,1060,1040
DNACorpus2/HaHi,3890005,1324571,2.937,31,26
DNACorpus2/DaRe,62565020,21235298,2.946,443,414
DNACorpus2/HePy,1667825,572507,2.913,14,11
DNACorpus2/HoSa,189752667,64010861,2.964,1336,1229
DNACorpus2/DrMe,32181429,11153099,2.885,232,221
DNACorpus2/ScPo,10652155,3691943,2.885,76,72
DNACorpus2/BuEb,18940,9894,1.914,0,0
DNACorpus2/OrSa,43262523,15009669,2.882,306,297
DNACorpus2/AgPh,43970,20885,2.105,0,1
DNACorpus2/YeMi,73689,31700,2.325,1,1
DNACorpus2/AeCa,1591049,561527,2.833,13,11
DNACorpus2/PlFa,8986712,2972288,3.023,68,57
