File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/YeMi,73689,31700,2.325,12,2
DNACorpus2/DaRe,62565020,21182510,2.954,1148,429
DNACorpus2/EnIn,26403087,8986109,2.938,461,183
DNACorpus2/HePy,1667825,572507,2.913,67,19
DNACorpus2/OrSa,43262523,15008736,2.882,848,308
DNACorpus2/EsCo,4641652,1621508,2.863,129,39
DNACorpus2/GaGa,148532294,52441876,2.832,2545,1074
DNACorpus2/ScPo,10652155,3691943,2.885,224,81
DNACorpus2/HaHi,3890005,1324571,2.937,112,33
DNACorpus2/HoSa,189752667,63973137,2.966,3415,1276
DNACorpus2/AeCa,1591049,561527,2.833,70,18
DNACorpus2/DrMe,32181429,11150498,2.886,660,234
DNACorpus2/BuEb,18940,9894,1.914,8,1
DNACorpus2/PlFa,8986712,2972072,3.024,209,65
DNACorpus2/AgPh,43970,20885,2.105,13,1
