File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15116,2.565,1904217,786832
DNACorpus1/mpomtcg,186609,70007,2.666,8728854,3014559
DNACorpus1/humhbb,73308,27918,2.626,3382983,1221281
DNACorpus1/humghcs,66495,25336,2.625,3091984,1228966
DNACorpus1/humprtb,56737,21687,2.616,2648910,984766
DNACorpus1/chntxx,155844,58089,2.683,7531057,2580581
DNACorpus1/chmpxx,121024,43269,2.797,5519177,1863972
DNACorpus1/vaccg,191737,69820,2.746,8821618,3077698
DNACorpus1/mtpacga,100314,36647,2.737,4369962,1692668
DNACorpus1/humhdab,58864,22484,2.618,2707059,1092237
DNACorpus1/hehcmv,229354,85279,2.689,10503427,3531853
