File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,9701,3.997,0,0
DNACorpus1/mpomtcg,186609,46661,3.999,0,1
DNACorpus1/humhbb,73308,18335,3.998,0,0
DNACorpus1/humghcs,66495,16632,3.998,0,0
DNACorpus1/humprtb,56737,14193,3.998,0,0
DNACorpus1/chntxx,155844,38969,3.999,0,1
DNACorpus1/chmpxx,121024,30264,3.999,0,0
DNACorpus1/vaccg,191737,47943,3.999,0,1
DNACorpus1/mtpacga,100314,25087,3.999,0,0
DNACorpus1/humhdab,58864,14724,3.998,0,0
DNACorpus1/hehcmv,229354,57347,3.999,0,1
