File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,13829,2.804,509541,1093550
DNACorpus1/mpomtcg,186609,57987,3.218,1458158,1864684
DNACorpus1/humhbb,73308,24512,2.991,664111,1171127
DNACorpus1/humghcs,66495,22399,2.969,789919,1061801
DNACorpus1/humprtb,56737,19413,2.923,648843,1044518
DNACorpus1/chntxx,155844,48659,3.203,1242832,1663084
DNACorpus1/chmpxx,121024,37060,3.266,1202055,1422801
DNACorpus1/vaccg,191737,57841,3.315,1703781,1960524
DNACorpus1/mtpacga,100314,31653,3.169,977452,1412402
DNACorpus1/humhdab,58864,20064,2.934,714827,1023579
DNACorpus1/hehcmv,229354,69939,3.279,1659027,2143910
