File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,10508,3.69,2191559,790159
DNACorpus1/mpomtcg,186609,50680,3.682,11063453,2904302
DNACorpus1/humhbb,73308,19749,3.712,4242652,1216763
DNACorpus1/humghcs,66495,17871,3.721,3796452,1240718
DNACorpus1/humprtb,56737,15217,3.729,3298323,1054667
DNACorpus1/chntxx,155844,41870,3.722,9151760,2531008
DNACorpus1/chmpxx,121024,30916,3.915,6989027,1842772
DNACorpus1/vaccg,191737,50542,3.794,11368968,2941231
DNACorpus1/mtpacga,100314,26097,3.844,5603026,1566511
DNACorpus1/humhdab,58864,15796,3.727,3414082,1080586
DNACorpus1/hehcmv,229354,61968,3.701,13573822,3496266
