File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,9806,3.954,13192439,11491534
DNACorpus1/mpomtcg,186609,47899,3.896,15039088,14317961
DNACorpus1/humhbb,73308,18628,3.935,13480151,12040970
DNACorpus1/humghcs,66495,16909,3.933,13615927,12039126
DNACorpus1/humprtb,56737,14447,3.927,13543912,11719724
DNACorpus1/chntxx,155844,40087,3.888,14719597,13858945
DNACorpus1/chmpxx,121024,31151,3.885,14924454,13220522
DNACorpus1/vaccg,191737,49496,3.874,15901415,14721741
DNACorpus1/mtpacga,100314,25888,3.875,14395716,12660026
DNACorpus1/humhdab,58864,14947,3.938,13411112,11804123
DNACorpus1/hehcmv,229354,59038,3.885,15698101,15234057
