File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6739583,3.918,115,156
DNACorpus2/EsCo,4641652,1216132,3.817,21,29
DNACorpus2/GaGa,148532294,39331405,3.776,645,924
DNACorpus2/HaHi,3890005,993429,3.916,19,23
DNACorpus2/DaRe,62565020,15926474,3.928,276,370
DNACorpus2/HePy,1667825,429381,3.884,9,10
DNACorpus2/HoSa,189752667,48008147,3.953,840,1098
DNACorpus2/DrMe,32181429,8364825,3.847,146,199
DNACorpus2/ScPo,10652155,2768958,3.847,47,65
DNACorpus2/BuEb,18940,7421,2.552,0,0
DNACorpus2/OrSa,43262523,11257252,3.843,190,266
DNACorpus2/AgPh,43970,15665,2.807,0,1
DNACorpus2/YeMi,73689,23776,3.099,0,1
DNACorpus2/AeCa,1591049,421146,3.778,8,10
DNACorpus2/PlFa,8986712,2229217,4.031,42,50
