File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6782768,3.893,4318,694
DNACorpus2/EsCo,4641652,1224465,3.791,464,88
DNACorpus2/GaGa,148532294,37673417,3.943,32284,4596
DNACorpus2/HaHi,3890005,1001479,3.884,360,70
DNACorpus2/DaRe,62565020,15592181,4.013,12186,1768
DNACorpus2/HePy,1667825,428312,3.894,114,24
DNACorpus2/HoSa,189752667,46081528,4.118,43781,5686
DNACorpus2/DrMe,32181429,8390006,3.836,5444,940
DNACorpus2/ScPo,10652155,2793343,3.813,1409,250
DNACorpus2/BuEb,18940,5268,3.595,1,0
DNACorpus2/OrSa,43262523,11213230,3.858,7562,1249
DNACorpus2/AgPh,43970,12038,3.653,2,0
DNACorpus2/YeMi,73689,19095,3.859,4,1
DNACorpus2/AeCa,1591049,420282,3.786,107,24
DNACorpus2/PlFa,8986712,2246826,4.0,1194,196
