File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6722136,3.928,113,243
DNACorpus2/EsCo,4641652,1206519,3.847,22,50
DNACorpus2/GaGa,148532294,38114601,3.897,672,1729
DNACorpus2/HaHi,3890005,986243,3.944,19,39
DNACorpus2/DaRe,62565020,15506608,4.035,274,597
DNACorpus2/HePy,1667825,423145,3.942,9,18
DNACorpus2/HoSa,189752667,46569498,4.075,823,1739
DNACorpus2/DrMe,32181429,8326066,3.865,147,345
DNACorpus2/ScPo,10652155,2766152,3.851,47,108
DNACorpus2/BuEb,18940,4778,3.964,0,0
DNACorpus2/OrSa,43262523,11069517,3.908,192,455
DNACorpus2/AgPh,43970,11111,3.957,0,1
DNACorpus2/YeMi,73689,18986,3.881,0,1
DNACorpus2/AeCa,1591049,410681,3.874,8,19
DNACorpus2/PlFa,8986712,2241114,4.01,40,76
