File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/EnIn,26403087,6722136,3.928,811,654
DNACorpus2/EsCo,4641652,1206519,3.847,139,75
DNACorpus2/GaGa,148532294,38114601,3.897,4025,3216
DNACorpus2/HaHi,3890005,986243,3.944,125,59
DNACorpus2/DaRe,62565020,15506608,4.035,1894,1550
DNACorpus2/HePy,1667825,423145,3.942,61,33
DNACorpus2/HoSa,189752667,46569498,4.075,6599,4678
DNACorpus2/DrMe,32181429,8326066,3.865,898,462
DNACorpus2/ScPo,10652155,2766152,3.851,315,150
DNACorpus2/BuEb,18940,4778,3.964,13,11
DNACorpus2/OrSa,43262523,11069517,3.908,1218,1087
DNACorpus2/AgPh,43970,11111,3.957,13,12
DNACorpus2/YeMi,73689,18986,3.881,14,13
DNACorpus2/AeCa,1591049,410681,3.874,54,34
DNACorpus2/PlFa,8986712,2241114,4.01,296,105
