File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
DNACorpus2/AeCa,1591049,0.56,3.84,413988
DNACorpus2/AgPh,43970,0.00,3.59,12228
DNACorpus2/BuEb,18940,0.00,3.45,5488
DNACorpus2/DaRe,62565020,58.23,4.99,12517704
DNACorpus2/DrMe,32181429,28.46,4.01,8017828
DNACorpus2/EnIn,26403087,21.38,4.56,5786284
DNACorpus2/EsCo,4641652,2.22,3.91,1185932
DNACorpus2/GaGa,148532294,169.07,4.10,36185284
DNACorpus2/HaHi,3890005,1.77,3.94,985296
DNACorpus2/HePy,1667825,0.59,4.01,415264
DNACorpus2/HoSa,189752667,209.19,4.48,42299044
DNACorpus2/OrSa,43262523,38.31,4.62,9349680
DNACorpus2/PlFa,8986712,5.38,4.28,2098352
DNACorpus2/ScPo,10652155,6.91,3.91,2722700
DNACorpus2/YeMi,73689,0.01,3.81,19308
