File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus1/humdyst,38770,15116,2.565,1743926,771994
DNACorpus1/mpomtcg,186609,70007,2.666,8461863,3140247
DNACorpus1/humhbb,73308,27918,2.626,3212232,1237121
DNACorpus1/humghcs,66495,25336,2.625,3010352,1221952
DNACorpus1/humprtb,56737,21687,2.616,2632740,972452
DNACorpus1/chntxx,155844,58089,2.683,7062075,2530457
DNACorpus1/chmpxx,121024,43269,2.797,5500513,1811443
DNACorpus1/vaccg,191737,69820,2.746,8735348,3026151
DNACorpus1/mtpacga,100314,36647,2.737,4308518,1613150
DNACorpus1/humhdab,58864,22484,2.618,2742226,1028868
DNACorpus1/hehcmv,229354,85279,2.689,10697775,3652822
