File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/YeMi,73689,27019,2.727,7,2
DNACorpus2/DaRe,62565020,19585959,3.194,9119,1719
DNACorpus2/EnIn,26403087,8609527,3.067,3239,700
DNACorpus2/HePy,1667825,566631,2.943,95,35
DNACorpus2/OrSa,43262523,14147605,3.058,5713,1218
DNACorpus2/EsCo,4641652,1593032,2.914,384,105
DNACorpus2/GaGa,148532294,46851235,3.17,24078,4371
DNACorpus2/ScPo,10652155,3590421,2.967,1101,266
DNACorpus2/HaHi,3890005,1306336,2.978,307,86
DNACorpus2/HoSa,189752667,57199679,3.317,32471,5425
DNACorpus2/AeCa,1591049,556194,2.861,93,35
DNACorpus2/DrMe,32181429,10618575,3.031,4151,917
DNACorpus2/BuEb,18940,7740,2.447,1,0
DNACorpus2/PlFa,8986712,2895340,3.104,950,211
DNACorpus2/AgPh,43970,17258,2.548,4,1
