File.Name,Original.File.Size,Compression.Time,Compression.Ratio,Compressed.Size
../lzwcpp/DNACorpus2/AeCa,1591049,0.14,4.00,396861
../lzwcpp/DNACorpus2/AgPh,43970,0.11,3.28,13405
../lzwcpp/DNACorpus2/BuEb,18940,0.09,2.59,7304
../lzwcpp/DNACorpus2/DaRe,62565020,12.14,4.39,14235917
../lzwcpp/DNACorpus2/DrMe,32181429,0.34,4.03,7971915
../lzwcpp/DNACorpus2/EnIn,26403087,0.25,4.14,6366855
../lzwcpp/DNACorpus2/EsCo,4641652,0.15,4.02,1152264
../lzwcpp/DNACorpus2/GaGa,148532294,0.59,4.15,35722474
../lzwcpp/DNACorpus2/HaHi,3890005,0.15,4.14,937750
../lzwcpp/DNACorpus2/HePy,1667825,0.14,4.14,402838
../lzwcpp/DNACorpus2/HoSa,189752667,12.76,4.22,44962101
../lzwcpp/DNACorpus2/OrSa,43262523,12.39,4.21,10272546
../lzwcpp/DNACorpus2/PlFa,8986712,0.18,4.28,2097537
../lzwcpp/DNACorpus2/ScPo,10652155,0.18,4.07,2617131
../lzwcpp/DNACorpus2/YeMi,73689,0.12,3.72,19776
