File Name,Original File Size,Compressed Size,Compression Ratio,Compresssion Time,Decompression Time
DNACorpus2/AeCa,1591049,556535,2.859,1027,359
DNACorpus2/AgPh,43970,17442,2.521,27,10
DNACorpus2/AnCa,142189675,43665091,3.256,130129,30638
DNACorpus2/BuEb,18940,7893,2.4,11,7
DNACorpus2/DaRe,62565020,19586457,3.194,55746,14370
DNACorpus2/DrMe,32181429,10619042,3.031,28462,5926
DNACorpus2/EnIn,26403087,8609993,3.067,22359,7255
DNACorpus2/EsCo,4641652,1593404,2.913,3806,1415
DNACorpus2/GaGa,148532294,46851765,3.17,141216,31454
DNACorpus2/HaHi,3890005,1306708,2.977,3001,692
DNACorpus2/HePy,1667825,566972,2.942,1197,333
DNACorpus2/HoSa,189752667,57200209,3.317,182781,41298
DNACorpus2/OrSa,43262523,14148071,3.058,35052,7914
DNACorpus2/PlFa,8986712,2895744,3.103,5889,2225
DNACorpus2/ScPo,10652155,3590856,2.966,8702,2699
DNACorpus2/WaMe,9144432,3112000,2.938,6045,1814
DNACorpus2/YeMi,73689,27235,2.706,36,14
