File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/YeMi,73689,27235,2.706,8.4,3.0
DNACorpus2/DaRe,62565020,19586457,3.194,14962.6,1879.2
DNACorpus2/EnIn,26403087,8609993,3.067,5402.2,762.6
DNACorpus2/HePy,1667825,566972,2.942,145.6,39.4
DNACorpus2/OrSa,43262523,14148071,3.058,9797.0,1331.0
DNACorpus2/EsCo,4641652,1593404,2.913,560.0,120.8
DNACorpus2/GaGa,148532294,46851765,3.17,40689.8,4761.2
DNACorpus2/WaMe,9144432,3112000,2.938,1441.8,249.4
DNACorpus2/ScPo,10652155,3590856,2.966,1741.6,289.6
DNACorpus2/AnCa,142189675,43665091,3.256,38776.8,4389.6
DNACorpus2/HaHi,3890005,1306708,2.977,444.6,97.8
DNACorpus2/HoSa,189752667,57200209,3.317,53730.6,5872.4
DNACorpus2/AeCa,1591049,556535,2.859,141.2,40.4
DNACorpus2/DrMe,32181429,10619042,3.031,7161.0,999.4
DNACorpus2/BuEb,18940,7893,2.4,2.0,0.2
DNACorpus2/PlFa,8986712,2895744,3.103,1359.4,233.8
DNACorpus2/AgPh,43970,17442,2.521,5.6,1.8
