File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/YeMi,73689,27235,2.706,9,2
DNACorpus2/DaRe,62565020,19586457,3.194,12264,1764
DNACorpus2/EnIn,26403087,8609993,3.067,4070,708
DNACorpus2/HePy,1667825,566972,2.942,96,35
DNACorpus2/OrSa,43262523,14148071,3.058,7627,1252
DNACorpus2/EsCo,4641652,1593404,2.913,348,109
DNACorpus2/GaGa,148532294,46851765,3.17,32906,4456
DNACorpus2/ScPo,10652155,3590856,2.966,1205,265
DNACorpus2/HaHi,3890005,1306708,2.977,271,88
DNACorpus2/HoSa,189752667,57200209,3.317,44733,5517
DNACorpus2/AeCa,1591049,556535,2.859,92,35
DNACorpus2/DrMe,32181429,10619042,3.031,5266,940
DNACorpus2/BuEb,18940,7893,2.4,5,0
DNACorpus2/PlFa,8986712,2895744,3.103,879,220
DNACorpus2/AgPh,43970,17442,2.521,7,1
