File Name,Original File Size,Compressed Size,Compression Ratio,Compression Time,Decompression Time
DNACorpus2/YeMi,73689,31700,2.325,1,2
DNACorpus2/DaRe,62565020,21182510,2.954,656,442
DNACorpus2/EnIn,26403087,8986109,2.938,271,184
DNACorpus2/HePy,1667825,572507,2.913,26,17
DNACorpus2/OrSa,43262523,15008736,2.882,431,319
DNACorpus2/EsCo,4641652,1621508,2.863,51,42
DNACorpus2/GaGa,148532294,52441876,2.832,1475,1080
DNACorpus2/ScPo,10652155,3691943,2.885,108,83
DNACorpus2/HaHi,3890005,1324571,2.937,51,32
DNACorpus2/HoSa,189752667,63973137,2.966,2035,1319
DNACorpus2/AeCa,1591049,561527,2.833,22,18
DNACorpus2/DrMe,32181429,11150498,2.886,332,237
DNACorpus2/BuEb,18940,9894,1.914,0,1
DNACorpus2/PlFa,8986712,2972072,3.024,106,67
DNACorpus2/AgPh,43970,20885,2.105,1,1
